task_id,corridor_id,section_id,line_id,asset_id,task_type,description,severity,safety_score,urgency_score,asset_criticality,operational_impact,overdue_days,coordination_value,resource_readiness,estimated_duration_minutes,setup_duration_minutes,required_block_type,requires_traffic_block,requires_power_isolation,requires_signal_disconnection,earliest_start,deadline,dependency_task_ids,required_resource_ids,department
TSK-001,COR-1,SEC-1,LIN-1,AST-1,BALLAST_CLEANING,BALLAST_CLEANING at SEC-1 KM 15.0 HIGH,HIGH,89,51,92,85,0,58,85,30,10,TRAFFIC,true,false,false,2026-09-03,2026-09-25,,RES-1,ENGINEERING
TSK-005,COR-1,SEC-1,LIN-1,AST-1,TRACK_RENEWAL,TRACK_RENEWAL at SEC-1 KM 45.0 LOW,LOW,83,86,75,50,0,43,92,180,20,TRAFFIC,true,false,false,2026-09-01,2026-09-16,,RES-2;RES-3,ENGINEERING
TSK-009,COR-3,SEC-5,LIN-7,AST-9,BRIDGE_MAINT,BRIDGE_MAINT at SEC-5 KM 100.0 HIGH,HIGH,36,31,70,70,2,47,52,30,20,TRAFFIC,true,false,false,2026-09-01,2026-09-28,,RES-2;RES-4,ENGINEERING
TSK-013,COR-1,SEC-1,LIN-1,AST-1,BALLAST_CLEANING,BALLAST_CLEANING at SEC-1 KM 15.0 LOW,LOW,78,24,92,84,2,44,62,90,20,TRAFFIC,true,false,false,2026-09-02,2026-09-15,,RES-1,ENGINEERING
TSK-017,COR-2,SEC-3,LIN-5,AST-5,TRACK_INSPECTION,TRACK_INSPECTION at SEC-3 KM 45.0 LOW,LOW,68,84,75,49,12,56,70,90,20,TRAFFIC,true,false,false,2026-09-03,2026-09-12,,RES-4,ENGINEERING
TSK-021,COR-1,SEC-1,LIN-2,AST-2,BRIDGE_MAINT,BRIDGE_MAINT at SEC-1 KM 100.0 CRITICAL,CRITICAL,61,38,70,71,12,30,56,90,15,TRAFFIC,true,false,false,2026-09-01,2026-09-24,,RES-1;RES-2,ENGINEERING
TSK-025,COR-1,SEC-1,LIN-1,AST-1,BRIDGE_MAINT,BRIDGE_MAINT at SEC-1 KM 15.0 CRITICAL,CRITICAL,72,89,92,59,2,33,63,90,30,TRAFFIC,true,false,false,2026-09-03,2026-09-08,,RES-4;RES-1,ENGINEERING
TSK-029,COR-2,SEC-3,LIN-5,AST-5,TRACK_INSPECTION,TRACK_INSPECTION at SEC-3 KM 45.0 LOW,LOW,90,22,75,77,5,33,72,45,10,TRAFFIC,true,false,false,2026-09-03,2026-09-09,,RES-2,ENGINEERING
TSK-004,COR-1,SEC-2,LIN-4,AST-4,YARD_REMODEL,YARD_REMODEL at SEC-2 KM 180.0 MEDIUM,MEDIUM,37,85,78,35,20,41,54,120,10,TRAFFIC,true,false,false,2026-09-04,2026-09-15,TSK-003,RES-12;RES-13,PROJECTS
TSK-008,COR-2,SEC-4,LIN-6,AST-8,THIRD_LINE,THIRD_LINE at SEC-4 KM 220.0 HIGH,HIGH,44,33,80,77,5,39,67,60,15,TRAFFIC,true,false,false,2026-09-04,2026-09-18,TSK-007,RES-13,PROJECTS
TSK-012,COR-3,SEC-6,LIN-8,AST-12,THIRD_LINE,THIRD_LINE at SEC-6 KM 550.0 MEDIUM,MEDIUM,50,42,86,86,2,31,61,180,20,TRAFFIC,true,false,false,2026-09-04,2026-09-29,TSK-011,RES-1,PROJECTS
TSK-016,COR-1,SEC-2,LIN-4,AST-4,THIRD_LINE,THIRD_LINE at SEC-2 KM 180.0 HIGH,HIGH,35,75,78,30,5,64,93,180,15,TRAFFIC,true,false,false,2026-09-05,2026-09-21,TSK-015,RES-13,PROJECTS
TSK-020,COR-1,SEC-1,LIN-1,AST-1,ROB_CONSTRUCTION,ROB_CONSTRUCTION at SEC-1 KM 220.0 MEDIUM,MEDIUM,55,38,80,31,0,45,80,120,10,TRAFFIC,true,false,false,2026-09-03,2026-09-21,TSK-019,RES-13,PROJECTS
TSK-024,COR-3,SEC-6,LIN-8,AST-12,ROB_CONSTRUCTION,ROB_CONSTRUCTION at SEC-6 KM 550.0 MEDIUM,MEDIUM,64,62,86,50,5,35,58,45,15,TRAFFIC,true,false,false,2026-09-02,2026-09-12,,RES-1,PROJECTS
TSK-028,COR-1,SEC-1,LIN-2,AST-2,YARD_REMODEL,YARD_REMODEL at SEC-1 KM 180.0 MEDIUM,MEDIUM,89,43,78,33,0,54,70,45,30,TRAFFIC,true,false,false,2026-09-02,2026-09-18,,RES-13;RES-12,PROJECTS
